,Unnamed: 0,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,salary_0.0,salary_1.0,salary_2.0,job_0.0,job_1.0,job_2.0,job_3.0,job_4.0,job_5.0,job_6.0,job_7.0,job_8.0,job_9.0
10329,12234.333216272438,0.22662344850958344,3.9133747046481777,139.63852995203123,6.063122542136087,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
367,-1918.5327337540384,0.5707472260930501,2.6048980678774534,105.53751019250845,3.787654863138868,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8216,9578.276624716364,0.9777791415410614,5.714783617038888,160.88580833761216,4.031115836121704,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
416,1970.5179033072936,1.1542992593240862,4.807690504039779,177.0909408187704,6.193940301963356,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2420,7598.486521588819,0.8003198813416521,4.532783688798945,240.50344205873503,5.018132305805298,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
729,8858.50689973284,0.7646136526334164,4.856753279363865,279.73779922436756,4.189561123867172,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13626,12154.46488014255,0.48784411082054635,2.9359996513427453,237.32532289857517,3.9706746915452897,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4170,9271.836141957192,0.4347325742997147,8.569527491053517,131.41615900649356,5.816442645260114,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6189,18712.6528656453,1.092937895902356,5.377860623906192,325.8178314442412,-0.37981595924261224,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12752,13608.162401747499,0.576568565887921,2.0794177778136804,247.9753367674794,5.0960335368245815,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10385,9957.211854771842,0.4633948355931969,4.960718137143997,209.97499193873722,3.868378839730776,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5778,7474.121786125048,0.9943168229153581,3.8341749729676207,109.37005106690992,2.216796306156305,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6206,835.9352998230497,0.7752102076767317,2.990563345157296,193.6338329854876,1.3976813527716585,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2388,5081.757983270438,0.45238567045498057,2.9278289469613625,194.7229237972864,3.2297247051739832,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12619,18832.46840030599,0.5551772260580591,2.335538510229907,165.36925612776403,2.063682729588043,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4894,387.5091504318789,0.5130018746188345,3.2477732752685853,126.02855421226448,3.5472193230378095,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6586,6686.432622913911,0.8105293316740223,4.250156526253142,212.49488033047163,2.8831484573957993,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8439,8827.963771299823,0.49332281758987245,3.840016205005121,226.69772202922255,3.5961733944833516,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5094,8499.64991602606,0.5373417516901979,3.5627961338088965,282.9159699327733,3.3248322040393017,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4747,3134.1445256822426,0.2998444214712375,3.6485489506696798,201.3144435311228,1.8088925465455457,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
510,2216.303877323492,0.6007633603453141,2.1056675995599914,124.7182038992159,3.357866455378363,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
700,-647.9090124395175,0.5879414506812412,2.184247144300459,129.09171938719845,3.2034871996359344,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6679,778.5111153224234,0.5940413182758888,4.96942239997657,171.5603663890627,5.686612397166922,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11135,8585.989987140814,0.4733701900470173,5.669735074094453,162.05979847035272,2.060638889968232,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2628,791.0873606270777,0.5020103846802467,3.468929027794644,115.80463409613354,5.059764602659779,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3679,4164.839116108267,0.5834992059718505,4.341964840432899,167.19262468200182,0.7539399503404924,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1277,2656.1923682703077,1.1511344776041779,3.8091072194406643,338.4155339102,4.974231045816023,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5226,3416.9437078498277,0.9588024404232287,2.987430511669674,144.0963496832639,0.9210482190906393,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2030,-2045.6192665885164,0.47930111457022345,2.3589351985643483,221.88995406547446,2.343853573615633,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5071,4682.354965937093,0.647273072703856,3.8947912773729554,294.2482955836598,2.6474555584877915,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,1904.1836803053454,0.8077607220352155,1.6874897982154535,100.66613488844709,5.042494532969715,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1891,895.8473447288135,0.500865658626669,1.1850202522702356,160.22693967326103,1.0793060966822379,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7874,7969.410886648266,0.5861287367776513,3.7015599653055737,258.9637880527002,5.447018308061574,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4785,7351.301949586479,0.8894516425367296,4.99138779423736,360.63976587468386,4.832331962630269,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3421,3761.464270627583,0.6447224495290087,2.645624202960418,136.01637846429236,3.758572697337819,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4111,6509.5637968798455,0.6899155828784795,5.638050012144604,215.17778094788775,6.32234036724863,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7621,7435.640376747379,0.6261449994727633,2.1372909387437575,277.11181643307043,2.31188691479482,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10514,7339.290098819252,0.420067358099378,9.229977891060525,92.90004879201165,6.011983061765444,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2980,3474.6437962366035,0.5051702995827246,3.5490127611817175,274.8788643323109,6.903829389366255,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001,-4166.4843497532365,0.48474298405271865,3.143060527289041,71.41841342053085,2.5820570916273127,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12678,12553.763235774491,0.4952616415044939,-0.7073114176829223,129.06623559999173,4.097312679022366,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1303,5707.666644105037,0.6240946056489051,3.3127979820585276,127.98713263115914,3.376592990809727,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4618,1513.8344496374943,0.7690530828792247,0.9283964491117409,68.30206070338686,2.6666848340936564,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7708,10875.177247300478,0.8883449419012267,3.9610744514625953,261.881714938977,2.831061966426629,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10986,13534.238480929424,0.45265106141062694,4.343476143480807,210.83321794312505,0.858285215836688,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,3469.5937417334194,1.1915276136319932,1.5768981831487503,269.95268689160685,7.114872159072405,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7375,9355.430311605662,1.1307173790074323,2.462849640758909,160.53328180558822,2.247245639857286,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8530,11072.055409060647,0.5560574765082277,3.4307053391845264,151.4255354737668,4.82671636695786,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9743,8834.371467982945,0.5009601903933438,1.5234804843434668,107.06707266668485,0.7990048278012385,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
474,9412.406167737325,0.881457694974393,5.399112187971056,248.16436339467694,4.447445649697012,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8860,9612.363180205413,0.580080468625484,3.7887339070626003,215.52328131359195,0.44752097079290176,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6576,9186.672812313893,0.3891971559129442,3.497296466992538,259.88270253874043,1.060936154522826,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9937,15633.329865360516,0.9083493217821137,3.6823486812160318,116.7556002130834,2.8560923465517734,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12770,14582.894698658552,0.9136092344213722,5.838205512165936,296.3327633489247,4.374552697236226,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13316,13637.00873564043,0.5914272492560454,4.302896649852759,181.08757412790587,2.054125726115848,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
322,4390.731204822007,0.4642257664759257,2.3846699635928856,279.01119413328433,2.229046272363792,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5245,8172.990835513245,0.8751026698021811,0.8268766666512388,99.79709735380803,4.0341913853772855,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4953,5825.397817042793,0.5245401556247886,4.598265520574086,246.04137792106252,1.9582438190651668,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11247,8273.52228069532,0.896227518479734,1.6983677424064842,189.88419451657177,3.224658817587497,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7820,2270.618812566605,0.8128408170811787,2.8892317761867394,233.56091351248776,8.020294403119639,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2754,-1722.6716821918253,0.9361051181317878,0.6472689247405334,260.79138174402044,4.2928235714989755,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9512,9655.765045077096,0.2913304937106312,3.6691982676684014,120.61931004144296,4.171270441539258,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13631,14183.17809905204,0.2705323727789942,3.679739470183725,228.53695090105745,3.307323913909669,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3514,6466.072552651249,0.9329512188787586,1.7068504522664736,166.0989750173241,4.050753494949808,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5905,5810.452129497899,0.6246728883935833,2.7761562798332826,203.6793506887094,3.575370192784136,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
971,-2974.505808000145,1.0312955723138681,5.729520298408565,228.71554603391317,3.2278864851219913,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6698,10458.419105661984,0.9411816787400684,1.526684914794366,162.60107337042044,5.131957995553027,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10194,9643.559954940181,0.9463016952573772,5.137037302215654,190.29965989404752,2.1544616075923657,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8661,4307.848261749443,0.9134283706508108,3.1363853509958926,177.03551010525675,2.0615241828274034,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12095,11115.040711904923,0.3198002185421474,1.393834219153022,121.14956246586209,5.541982829094989,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6113,6702.52424121258,0.9849995195451997,2.722209191314328,130.18075664872768,1.5545346137614735,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10862,10190.480810832223,0.8817537580910199,3.1210452158369457,259.36384370340943,5.746976008238083,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14569,14044.239862931243,0.609712215034436,4.159401690060769,153.80517124205647,4.258581905589896,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1201,2608.8516014572538,0.686639678023579,7.022681923299354,271.12545155864103,3.3205024382517814,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2727,-593.8402502329423,0.7091115268213581,8.534530609331686,187.43128460445826,7.451506522971892,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7399,12485.70509326085,0.4164074645484196,4.913510111395523,192.74611427342109,1.0979455556840279,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7795,5488.453345045862,0.6595840176458434,4.808954538975957,396.4774489301369,2.7989156851157837,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14739,15756.141731132026,0.7862221393128186,7.851164919083018,281.16327611374936,4.2616224831086615,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-101.41027446772355,0.36843975177321614,1.4590784480084729,278.5447315687953,0.7219790870717895,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12943,18609.00193824598,0.9493008114715583,11.372075567609993,227.44354301642414,3.479915742363963,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4750,3766.13822399137,0.4641684116080783,4.023508696295363,150.31759202136476,5.143919937899067,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6740,-9209.589383559185,0.6762517140636713,3.2245608950574445,99.1574955110379,1.3661683668027083,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14664,10427.785423988982,0.5774731760405845,2.255017056416603,105.22751064804694,3.955987170586993,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6933,6220.797810970967,1.1163376093119206,2.290087317739424,143.35535539323197,2.858560465158374,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5183,8429.659235485638,0.7196443705049403,4.143378396122615,172.7253960342415,2.2824431290594527,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10465,13969.987042529576,0.7805515939403013,0.8663263406402866,90.07407657475125,4.217386322941955,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8969,8943.87218042765,0.700693298953632,4.6572419524553075,174.77298272311197,2.09632563375837,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12631,12303.205007203322,0.719213947219928,5.686232355180142,117.14023422862459,3.2630689552914203,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11661,9192.66709111796,0.7037109022031819,8.4735677731543,105.34953684289621,9.512837501954158,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8459,6934.101363837454,0.7987707899064055,2.754131582368782,261.89964643773084,3.2579105419071333,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3090,3027.368055089895,0.6166661758457122,5.047863933556003,117.84116813239643,1.6310217741768034,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12232,14862.663467553502,0.6202927018549509,7.332069678850316,186.7570523892733,4.028858353472441,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1288,485.67819400381677,0.5655016861207537,6.152137099425888,326.8223186608855,5.933620987951833,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3031,718.2081207729402,0.5828848500552444,4.907051563131189,170.2430351880747,1.9014751440246282,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14655,14380.27538212779,0.42726895671701204,2.5554545723383177,114.51373719996285,2.709546753060924,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2977,3509.5909319165544,0.9491537574742359,2.1856636509077827,120.20086034913577,3.227096127560094,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2400,3996.5548573447195,0.36212478584777325,2.5718185483545066,267.40976444128586,4.498420026492197,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14010,4952.116118076849,0.6473262560090091,5.962102162626992,268.0046686755507,2.9533924307725985,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14508,12631.139042670844,0.5848598726652231,1.2830927595021322,148.66305504443193,3.5552916079597034,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13925,12561.452221969495,0.4281709249845823,-0.6172005631779292,242.32517782879307,1.5264273302957658,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9924,11270.916354910303,0.6509787561818059,2.487067607716795,158.49302442509233,3.0850808995668704,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1746,18350.330196867264,0.8911858910451093,5.9974092336040545,275.49786637033765,4.280405615467732,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4125,-601.1515114027798,0.9222382290982833,1.3979540314333414,258.3453239807058,3.087658475838771,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7172,11237.986831410028,0.850286384388135,3.0056039395209786,177.91803410411077,3.7723422799807143,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9922,10689.052040896726,0.5864828300967349,0.7784546488407795,250.11757039721675,2.5261557899931852,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4315,-3061.6007357378858,0.9765140636282034,4.19630250618873,296.0752759814165,2.281463790006806,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8118,6539.187406218596,0.73471132942959,4.476717135297288,146.55313123070619,2.774626063737701,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11571,31874.54407732311,0.5723569462213267,1.4215745473519839,234.68024633403476,12.4058810743586,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5981,4430.414417176639,0.6025041684613921,2.431377903752765,254.62358802733462,1.7120260645457057,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11487,10310.509668879788,0.5630334999598473,2.694905608489303,179.93048899935303,3.7524350488204123,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11908,8279.499933508207,0.43258958513698276,2.1352731772817166,202.53968165409205,6.98289876843531,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4549,5682.079053781734,0.7826839241096804,4.328544053523038,169.68119645545693,2.985179319825217,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2507,-9560.357596320864,0.8659983502826999,5.022219955581193,255.65253678475403,1.7019790522135452,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3375,944.01545637764,1.1661469505002462,4.406609621386086,274.42309215924956,4.656735017155961,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8310,8183.96325309579,0.7102971144332649,3.5260590529756866,92.785281408401,4.076913585267215,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7092,14062.799838903815,0.9977170092620161,5.107855500896687,196.11145563218213,0.7387117745228151,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
210,-6942.240642348325,0.4445969013634092,2.5224830325338896,166.3868771412244,2.4697450248573336,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13161,10848.444394953596,0.6231892005229622,8.207438674510827,245.9109751896692,1.8605419508015455,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1950,1096.8536774538943,0.6986605349304162,3.2265703608330956,218.80219499353433,7.22116535734164,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4393,3493.1351064833125,0.6817933665989269,10.317419058366525,86.55190669194283,5.60773755541018,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
651,2383.7272242787217,0.75046428523444,5.6927759317917825,292.8540618843268,4.452175475878157,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2206,3142.267216855166,0.988740045367725,6.550172709108331,369.92469166027206,4.933441687718474,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4475,583.6993231581514,0.4186283500543706,1.3265717815617784,228.31850161366145,2.854116998108289,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
