,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,salary_categorized
210,0.30646986689,0.943213454343,-0.399849323927,0.247435179307,0.0527265372557,0,1,0,0
13161,1.15771354798,0.853276359456,0.593840654774,0.779571310833,0.335158056545,0,0,0,0
1950,0.986891405073,0.875090788978,0.291934089016,0.6180324528,0.461608078635,0,1,0,0
4393,0.897145053204,0.1672170991,0.538008217319,0.678793636779,0.344220647336,0,0,0,0
651,-0.0386868055504,0.638254781772,0.800138661931,0.867371590917,0.241798706677,0,1,0,0
2206,-0.13215899698,1.14509649115,0.829659025917,0.9870837659,0.30650055306,0,0,0,0
4475,1.02870241107,-0.211053497039,0.30964821412,0.647527086087,0.291781001972,0,0,0,0
2615,0.717496283421,0.353933900599,0.220619489614,0.599114813658,0.260287992703,0,0,0,0
1396,0.0321278978041,0.294744042071,1.05403375988,0.909072205569,0.359097477699,0,1,0,0
11051,0.391336276047,0.0498121837019,0.485329254001,0.282138608294,0.203964544367,1,0,0,0
5909,0.38863995147,0.370785432279,0.380623639626,1.28604225758,0.166051189398,0,0,0,0
3942,1.47570923008,1.17343451172,0.42482970449,0.267376381317,0.274261709099,0,0,0,0
1670,0.205971358658,0.370335135488,0.0494990007971,0.145322249087,0.15299506787,0,1,0,0
2320,0.969561153069,0.634212419175,0.496434899239,0.745652120495,-0.0118887586724,0,0,0,0
9509,0.722890276451,0.844013746263,0.190121067538,0.922903446643,0.173350767553,0,0,0,0
14342,0.475616904286,0.320327749672,-0.0491574589471,0.255612604458,0.169998605063,0,1,0,0
1952,0.326217013895,0.338918055799,-0.251103654986,0.229834418483,0.407835998444,0,1,0,0
7630,0.328028962994,0.711682573573,0.391671900864,0.359702850885,0.0124634850381,0,0,0,0
14561,-0.191839084016,0.795955861732,1.13350948996,0.867475904094,0.697292240079,0,1,0,0
2937,1.26875155032,0.588880687275,0.420988858584,0.485698682653,-0.193597492151,0,0,0,0
10857,0.630095136016,0.566177797047,0.289878121424,0.66697928792,0.0261879672947,1,0,1,0
11807,0.685152029668,1.1150063701,0.453182813295,0.158803662293,0.0714550770292,0,0,0,0
11035,0.336086681331,1.68344588788,0.20452622418,0.721896278767,0.135255986347,0,0,0,0
14223,0.770738238146,0.874466931379,0.0878466351863,0.835215633233,0.649736808833,0,1,0,0
10146,0.468720498584,0.301590393008,0.615226080043,0.610356887051,0.254273223374,0,0,0,0
484,0.0971634551667,-0.268012095692,0.69059139478,0.23042255402,0.439109383906,0,1,0,0
11100,-0.0698668483447,0.765394020889,-0.254019782609,0.277502503201,-0.126225212223,0,0,0,0
898,0.0387153723768,0.896450282537,0.976402840009,0.846097570378,0.36176572116,0,1,0,0
1732,0.749248158507,1.04358508658,0.93596632769,0.814371867573,0.0514770036574,0,1,0,0
13955,0.407387622371,0.949069467225,0.6614728604,0.227615285031,-0.0486310429147,0,0,0,0
2613,0.894837232497,0.797745330265,0.134992555561,0.467743592901,0.210976766608,0,0,0,0
6387,0.667036135348,0.520079820145,-0.116544828193,0.436185026512,-0.107370279371,1,0,0,0
8778,0.604440706506,0.0480341016809,-0.340227845837,0.967901120885,0.0862951418593,0,0,0,0
6076,-0.25156019611,0.255887930188,0.0895269451483,0.130241228139,0.34825484866,0,0,0,0
14550,-0.267068274082,0.657221937318,0.645738229166,1.12294753731,0.0883143936979,0,1,0,0
4684,0.605919294581,1.43174803433,0.313298061626,0.674314378195,0.187964528611,0,0,0,0
2640,1.42654417358,0.602198551897,0.251511960707,0.515782582005,0.456898300342,0,0,0,0
1250,0.850682003058,1.07968085438,0.518657874065,0.779794767574,0.351263600866,0,1,0,0
12697,-0.18175872277,0.759808704118,0.947796042851,1.1275477625,0.204684655425,0,1,0,0
11078,0.970303665242,0.761172215352,0.0491295948357,0.374064289991,0.89614798212,0,0,0,0
2435,-0.0655312129892,0.462686146953,0.930932411833,0.563195926033,0.340486992365,1,0,0,0
4954,0.831685871718,0.373917750219,0.90861966836,0.594582402558,-1.05472397645,0,0,0,0
9787,0.917322884901,-0.064797474547,0.796292933257,0.0277514493915,-0.134814346743,1,0,0,0
14914,0.0792915654419,0.328440065136,0.236074766446,0.327893931337,0.203934430953,0,1,0,0
13356,0.340595092075,0.776214725852,0.355227826927,0.111042522291,-0.0271872669946,1,0,0,0
4751,0.515192715654,1.2638276248,0.395547826478,0.0733729481342,0.42363791109,1,0,0,0
8552,0.076764577899,0.251788369453,0.407799417041,0.424893597637,0.171520762561,0,0,0,0
13957,0.739957836265,0.576223165101,0.262698651841,0.560885695611,0.953404037332,0,0,0,0
2303,0.775918176648,0.52754027293,0.630702204348,0.862853969965,0.175668481925,0,0,0,0
5532,0.239047610445,0.804169921623,-0.102283555931,0.428915350097,0.543651646025,0,0,1,0
11944,1.06785002149,0.249233347443,0.659588498972,0.605798653151,1.19014146562,1,0,0,0
12525,0.436531627125,0.294050182006,-0.0725007741945,0.00575900417629,0.0119543792016,0,1,0,0
582,0.927036751352,0.893417472577,0.506267833397,0.587431669181,0.346776357383,0,1,0,0
7372,0.273421790884,1.25265241772,0.13192533175,0.180105212191,0.03453506921,0,0,0,0
9811,1.89881271896,0.352915523756,0.35582802874,1.08240889846,-0.0562322732052,0,0,0,0
718,0.866652674173,1.17093918409,0.542150017471,0.595356162646,0.555084099015,0,1,0,0
12334,0.310062302446,0.830895872197,0.847629650181,0.680244674017,0.311216127112,0,1,0,0
11066,0.825575810619,0.0864348964188,0.544162825121,0.42528753702,0.131379873548,0,0,0,0
762,0.513963705314,0.173446785257,0.185423278637,0.0769667409305,0.0653626384146,0,1,0,0
3468,0.899057417857,-0.0352713327722,0.130337886965,0.0914365537341,0.131996177349,0,0,0,0
1870,0.789017609135,0.911614067783,0.602695854206,1.12158752164,0.399649909453,0,1,0,0
12574,0.352396828905,0.200269072587,-0.00368166830778,-0.0766487466176,0.0121211896513,0,1,0,0
6072,0.636385016366,0.11945337671,0.356083656495,0.791421090334,-0.0153987011421,0,0,0,0
6808,0.485220001709,0.939893180011,0.374992727203,0.355815099379,0.0058054930423,1,0,0,0
6836,0.47626713025,0.893782857779,0.636319710912,-0.522478691099,0.437184132851,1,0,0,0
738,-0.206760691849,0.674139848041,1.15161914996,0.673225366428,0.285209574742,0,1,0,0
9754,0.87481616254,0.698294038407,0.629978688188,0.463147918189,0.122786688824,0,0,0,0
12380,0.0484116714513,0.112987672368,-0.227671830847,-0.31064625703,0.633701887223,0,1,0,0
12534,0.655602950823,0.791021323269,1.10536023215,0.603842239173,0.537081112801,1,1,0,0
7508,0.985708241647,0.878831659784,1.27740294946,0.345193082612,0.0689161705855,1,0,0,0
7503,1.14487599264,0.421735178287,0.578153065111,0.689461512651,0.32838381638,0,0,0,0
11503,0.948827367018,0.415403254645,0.288445733807,0.386925391803,0.859742240728,1,0,0,0
13612,0.834336149763,0.632894903073,0.599296581001,0.773454933153,0.157905466486,0,0,1,0
14300,-0.3700116074,0.741299033468,0.13225867188,0.802606874403,0.255329917151,0,1,0,0
4024,0.197078513384,0.216548907095,-0.0938439065617,-0.243699528306,0.242561067989,0,0,0,0
14358,0.430573133586,0.767238559222,0.553505677745,0.862412119997,0.266006888086,0,1,0,0
8303,0.870949999365,-0.148892062814,0.342795014649,0.670992988376,0.0764983730935,0,0,0,0
750,0.547882433425,0.320153896731,0.0249121902074,0.260726913824,-0.0162651805705,0,1,0,0
10330,0.936518112469,0.54207936186,0.597650684936,0.641396721826,-0.134980781034,0,0,0,0
12939,0.767350056158,1.0724933986,0.36078918854,0.468512146974,0.089809374486,0,0,0,0
8077,0.205814624842,0.835846231586,0.31370217295,0.597734244865,0.0883459742035,0,0,0,0
4554,0.47618263263,0.771665898772,0.352152309875,0.604449016677,0.25976348377,0,0,1,0
1839,1.18043194543,0.643931849382,-0.000153223287374,0.294997720384,0.0258709076214,0,1,0,0
5399,0.699931794347,0.655886483713,0.50121963407,0.336598316679,-0.284522324057,0,0,0,0
13541,1.01435763531,0.556371429585,0.144156794924,-0.161267535623,-0.0530906044407,0,0,0,0
1275,-0.0247925129308,0.503121754041,1.03915087821,0.187611526672,0.540285315778,0,1,0,0
6650,-0.12347543961,0.73554006541,1.18712318008,0.545161565443,0.458720588546,0,0,0,0
10114,0.471093819584,0.375921431223,0.655953912309,0.701249059447,0.0862936212343,1,0,0,0
4459,0.58419127703,0.80313617784,0.350743846642,0.790810797707,0.666838230409,0,0,0,0
14266,0.278490551411,0.118483552955,0.165768501715,0.0878028924633,-0.564387734363,0,1,0,0
9545,0.501933329982,0.138425795272,0.55356025961,0.221850523909,0.0526424206799,0,0,0,0
10556,1.09368241575,0.325416306764,0.523337659788,0.793647309755,0.343513646635,0,0,0,0
10657,0.893844615074,0.69748165456,0.133486641792,0.85592006889,-0.29834183195,0,0,0,0
10569,0.826973285472,0.51205671791,0.475792689347,0.381168894964,0.172268119968,0,0,0,0
2264,0.28974324228,0.49517972471,-0.00474122861699,0.435477606419,-0.0332389518682,0,0,0,0
8294,0.193320359815,-0.200050251436,0.356213672076,-0.107124913223,0.398658394969,0,0,0,0
1536,-0.177318378726,0.997937312785,0.998917129173,0.531691655977,0.208490801403,0,1,0,0
4296,0.770102067076,0.45161143001,0.590596187583,0.673917030599,0.119578051731,0,0,0,0
6779,0.344368000542,0.75856381304,0.593355644925,0.457324579995,0.383450563065,0,0,0,0
6061,0.316459921999,0.821906383147,0.430763926619,0.403825033855,-0.0422576801047,0,0,0,0
1369,0.0500150070368,1.27072384349,0.418548145377,0.749036332671,0.154360749558,0,1,0,0
740,-0.196902905863,0.530448112621,0.799617216653,0.844209699183,0.00339870093582,0,1,0,0
6800,0.734954701829,0.408061074966,0.738883426621,0.717175420859,-0.112090841933,0,0,0,0
3857,0.865531148562,0.51272752013,0.519658776669,0.981386991024,0.194818346502,0,0,0,0
1188,-0.282626514157,1.09194743479,0.459885587023,0.822083708191,0.276629523066,0,1,0,0
13451,0.795895887451,0.822091417534,0.308070659099,0.864663542343,-0.0466938036656,0,0,0,0
9601,0.797315612622,0.348090854329,0.502463267157,0.907248890143,-0.0483161465503,0,0,0,0
1570,0.655677179874,0.351986544238,-0.0742979896108,0.21826333158,-0.399093165181,0,1,0,0
9632,0.449277130259,0.115612535896,0.595757979809,0.393920922781,0.112237196208,0,0,0,0
10107,1.01732480346,0.541965422558,0.675449680694,0.470238861469,0.32088438525,0,0,0,0
2527,0.439019785886,0.850085008202,0.663900461747,0.632431467172,-0.319467214616,0,0,0,0
2127,-0.00976788959618,0.51922673939,0.499554898689,0.300207513959,-0.120429129941,0,0,0,0
10073,0.2456348586,0.866397477319,0.817626895236,0.780421112731,0.249785462567,1,0,0,0
2764,0.497961951581,0.441981654954,0.462135249211,0.569312727412,0.0296185367982,1,0,0,0
9188,0.303298290343,0.245016621446,0.239674402698,0.747854172449,0.173823094878,0,0,0,0
11418,0.415402424039,0.955272222832,-0.804232961257,0.388330226769,0.227366500129,1,0,0,0
12638,0.727045453114,0.808497719051,0.0694315060885,0.515697843612,0.441165413042,0,1,0,0
9392,0.15482000801,0.961965018856,-0.206044574292,0.31883003365,0.196466776043,0,0,0,0
6018,0.385876674631,0.463339970472,0.203125449724,0.145032859393,0.284116431235,0,0,0,0
10035,0.426241131739,0.317786676883,0.243760829467,0.733764201981,-0.016181562172,0,0,0,0
1981,0.865056563908,0.919954239731,0.43021836593,0.692462413185,0.41606861249,0,1,0,0
13625,1.07498467947,0.955938770254,-0.0548272071661,1.06194447658,-0.0292527640762,0,0,0,0
4094,0.4445911106,1.1294406396,0.674048407712,0.660595548681,-0.187012411499,0,0,0,0
10919,0.38968458654,0.252649934717,0.368447181299,0.328926051484,-0.22601387024,0,0,0,0
13777,0.466850561314,0.26133900911,1.66448955566,0.572883521879,0.811584451968,0,0,0,0
14317,0.818605883833,1.02264325384,0.396867598244,0.853138541233,0.525322166558,0,1,0,0
2057,0.60723859076,0.285739992656,0.52659640348,0.788984513171,0.147928284607,0,0,0,0
4536,0.389766765283,-0.190207135028,0.635313530083,0.916411387155,0.317529824886,0,0,1,0
4685,0.659704623444,0.596905030175,0.158164200666,0.537699510603,0.15577110021,1,0,0,0
12854,0.533036668821,0.308103672521,0.0321368518211,1.07240892085,0.729854699281,1,0,0,0
4004,0.324316078885,0.541706144916,0.451675761644,0.351541631643,0.255998869765,0,0,0,0
11696,0.653967427875,0.268133327674,-0.0067383098503,0.372381182452,0.136852831759,0,0,0,0
14742,0.0321133377045,0.373793208699,-0.160616677065,0.108909432192,0.681748383866,1,1,0,0
14376,0.030579561687,0.484514092927,0.949341180539,1.18972350362,-0.00896251980823,0,1,0,0
10323,0.384319054947,0.399917942813,0.19268895682,0.561708373841,0.209007914517,0,0,0,0
9913,0.20338931918,0.304227206849,-0.155398530255,0.106861638526,0.0444728413041,0,0,0,0
3434,0.480510193999,0.0832843052064,0.199418227688,0.650815255881,0.147872044119,0,0,0,0
9269,0.815860488222,0.469994676607,0.25043010884,1.08307049049,0.000245435614029,0,0,0,0
9825,0.838432297475,0.902110076395,0.19165256234,0.464260332181,0.224861723945,0,0,0,0
6302,0.471841528273,0.795469618345,0.706082429845,0.363483977352,0.364191286415,0,0,0,0
1710,-0.136689731141,0.75232179741,0.859219750754,0.525615865655,0.175623231379,0,1,0,0
14251,1.10152599736,0.694494635796,0.766541980696,0.717969875653,0.37913366319,0,1,0,0
6286,0.66511644663,0.323857145239,0.299807986634,0.0812451031053,0.128634143957,0,0,0,0
13047,0.860910361397,0.245364073941,0.481837022124,0.35160122793,0.195808009913,1,0,0,0
562,0.325002264018,0.321592852239,-0.337511364821,0.188617128134,0.0553189457579,0,1,0,0
10786,1.1813767581,0.515424471109,-0.134730955593,0.72363383467,0.11569591135,0,0,0,0
7907,0.77491188049,0.698820837189,0.268027077917,0.459484723622,0.375300391354,1,0,0,0
640,0.438423710535,0.163557018093,0.01979917062,0.523593037026,-0.0208682491048,0,1,0,0
1669,0.754081330206,-0.0670542945641,0.171607523406,0.534867360641,0.579256879518,0,1,0,0
3000,-0.822727881398,-0.163893580133,0.203350261982,0.71827045781,0.558606906694,0,0,0,0
7307,-0.088406366192,0.608292862653,0.234582027459,0.0736597748854,0.506411830904,0,0,0,0
13481,0.919905415484,0.972197122691,0.606987452269,0.387372869033,0.53036850741,0,0,1,0
14513,0.0455049070525,0.613109128155,1.13299580401,0.585388809008,0.331940492319,0,1,0,0
2407,0.851358380952,0.458445678547,0.521806638658,0.0967942192864,0.39463865005,0,0,0,0
12566,0.0537695880096,0.635445432404,0.864467823645,0.878845794972,0.312562337589,0,1,0,0
8064,0.407433142809,0.856621778341,0.0515222550536,0.285645785665,0.272466847887,0,0,0,0
7796,0.402350236316,0.45966414824,0.329742789806,0.185153570105,0.333220903505,0,0,0,0
13385,0.324892733787,1.19791373291,0.630840535654,1.109182405,0.493266263319,0,0,0,0
5936,1.06613236074,0.206819780802,0.376057556077,0.412592140008,0.169719076819,0,0,0,0
14981,0.867548905334,1.03112734711,0.619602764078,0.932844085711,0.148897034037,0,1,0,0
2910,0.504132472742,0.654686458852,0.47775993218,0.34709310753,0.533836515176,0,0,0,0
4081,0.390452926349,0.19140262688,0.253768273926,0.900499891287,0.419123460923,0,0,0,0
9948,0.215328843098,0.642188094987,0.45761534573,0.399418536976,0.409438848004,0,0,0,0
12103,0.358988405309,1.11774283325,0.987348161946,0.77863995604,0.183275449441,0,1,0,0
4743,0.533992689268,0.423513384182,0.760446573177,0.814405777848,0.118694966289,0,0,0,0
14511,0.461695854995,0.296361863831,0.0880935599967,-0.315222151886,0.31545894308,0,1,0,0
5123,0.695412326659,0.566006182455,0.300595218487,0.627438522921,0.0895192643711,0,0,0,0
2928,0.947484164107,0.244618339906,0.341094436441,0.839889116841,-0.0618503714622,0,0,0,0
3166,0.56195468605,0.509572521729,0.0431919604284,-0.180728687956,0.362934783022,1,0,0,0
